Film,Actor,Director,Screenwriter
Луна зашла,Седрик Хардвик,Ирвинг Пичел,Наннэлли Джонсон
"Тихо, пожалуйста: убийство",Джордж Сандерс,Джон Ларкин,Джон Ларкин
Сказки Манхэттена,Шарль Буайе,Жюльен Дювивье,Бен Хект
История Бенджамина Блэйка,Тайрон Пауэр,Джон Кромуэлл,Филип Данн
Болотная вода,Уолтер Бреннан,Жан Ренуар,Верин Белл
Памятный день,Клодетт Кольбер,Генри Кинг,Филлип Даннинг
Как зелена была моя долина,Уолтер Пиджон,Джон Форд,Филип Данн
Великие пушки,Стэн Лорел,Монти Бэнкс,Лу Бреслоу
Белль Старр,Рэндольф Скотт,Ирвинг Каммингс,Ламар Тротти
Табачная дорога,Чарли Грейпвин,Джон Форд,Эрскин Колдуэлл
Молодые люди,Ширли Темпл,Аллан Дуон,Эдвин Блум
"Человек, который не хотел говорить",Ллойд Нолан,Дэвид Бертон,Кларк Эндрюс
Барабаны долины Мохок,Клодетт Кольбер,Джон Форд,Ламар Тротти
Голливудский бульвар,Джон Холлидэй,Роберт Флори,Фэйт Томас
Черная ярость,Пол Муни,Майкл Кёртиц,Эбем Финкел
Маленький человек — что же дальше?,Маргарет Саллаван,Фрэнк Борзеги,Уильям Энтони МакГуайр
Ребекка с фермы Саннибрук,Мэриэн Никсон,Альфред Сентелл,С.Н. Берман
Крыса,Айвор Новелло,Грэм Каттс,Констанс Колльер
Арабелла,Мэй Марш,Карл Груне,Ханс Кизер
Белая роза,Мэй Марш,Дэвид Уорк Гриффит,Дэвид Уорк Гриффит
Мать и закон,Мэй Марш,Дэвид Уорк Гриффит,Дэвид Уорк Гриффит
