Film,Actor,Director,Screenwriter
Путь оружия,Райан Филипп,Кристофер Маккуорри,Кристофер Маккуорри
Мы были солдатами,Мэл Гибсон,Рэндалл Уоллес,Джозеф Л. Гэлловэй
Жаркое американское лето,Джанин Гарофало,Дэвид Уэйн,Майкл Шоуолтер
Что скрывает ложь,Мишель Пфайффер,Роберт Земекис,Кларк Грегг
Чего хотят женщины,Мэл Гибсон,Нэнси Майерс,Джош Голдсмит
"Там, где сердце",Натали Портман,Мэтт Уильямс,Лауэлл Ганц
Белый Олеандр,Элисон Ломан,Питер Козмински,Джанет Фитч
Девять ярдов,Брюс Уиллис,Джонатан Линн,Митчелл Кэпнер
Говорящие с ветром,Николас Кейдж,Джон Ву,Джон Райс
Вундеркинды,Майкл Дуглас,Кёртис Хэнсон,Майкл Шейбон
Люди Икс,Хью Джекман,Брайан Сингер,Том ДеСанто
Ярды,Марк Уолберг,Джеймс Грэй,Джеймс Грэй
Один и два,У Няньчжэнь,Эдвард Ян,Эдвард Ян
Герой,Джет Ли,Чжан Имоу,Ли Фэн
Образцовый самец,Бен Стиллер,Бен Стиллер,Дрэйк Сэтер
Делишки,Гейл О’Грейди,Ирис Клейн,Ирис Клейн
Остров,Майкл Мерфи,Сайрус Наурасте,Сайрус Наурасте
Части тела,Говард Стерн,Бетти Томас,Говард Стерн
Канзас-Сити,Дженнифер Джейсон Ли,Роберт Олтмен,Роберт Олтмен
Плохая компания,Эллен Баркин,Дэмиэн Харрис,Росс Томас
Стерлось из памяти,Дэна Карви,Мик Джексон,Роберт Кинг
Бэтмен возвращается,Майкл Китон,Тим Бёртон,Боб Кейн
Предки,Том Селлек,Тед Котчефф,Роберт Клейн
Электрошок,Митч Пиледжи,Уэс Крэйвен,Уэс Крэйвен
Заколдованная,Джоди Фостер,Майкл Лофлин,Ежи Сколимовский
Сальвадор,Джеймс Вудс,Оливер Стоун,Оливер Стоун
Плащ и кинжал,Генри Томас,Ричард Франклин,Том Холланд
Горячие деньги,Майкл Мерфи,Зэл Магдер,Карл ДеСантис
"Год, опасный для жизни",Сигурни Уивер,Питер Уир,Дэвид Уильямсон
Мертвые дети,Майкл Мерфи,Майкл Лофлин,Билл Кондон
Класс мисс МакМичел,Гленда Джексон,Сильвио Нариззано,Сэнди Хатсон
Незамужняя женщина,Джилл Клейбёрг,Пол Мазурски,Пол Мазурски
Подставное лицо,Вуди Аллен,Мартин Ритт,Уолтер Бернстайн
Нэшвилл,Дэвид Аркин,Роберт Олтмен,Джоан Тьюксбери
Фаза 4,Найджел Девенпорт,Сол Бэсс,Майо Саймон
"Вор, который пришел на обед",Райан О’Нил,Бад Йоркин,Уолтер Хилл
"В чем дело, док?",Барбра Стрейзанд,Питер Богданович,Бак Генри
МакКейб и миссис Миллер,Уоррен Битти,Роберт Олтмен,Эдмунд Нотон
"Граф Йорга, вампир",Роберт Куорри,Боб Келиджан,Боб Келиджан
Брюстер МакКлауд,Бад Корт,Роберт Олтмен,Доран Уильям Кэннон
Сделка,Кирк Дуглас,Элиа Казан,Элиа Казан
Холодным днем в парке,Сэнди Деннис,Роберт Олтмен,Джиллиан Фриман
Легенда о Лайле Клэр,Ким Новак,Роберт Олдрич,Роберт Том
Обратный отсчет,Джеймс Каан,Роберт Олтмен,Лоринг Мэндел
Двойные неприятности,Элвис Пресли,Норман Торог,Джо Хеймс
Осенняя соната,Ингрид Бергман,Ингмар Бергман,Ингмар Бергман
Дело времени,Лайза Миннелли,Винсент Миннелли,Морис Дрюон
Убийство в Восточном экспрессе,Альберт Финни,Сидни Люмет,Пол Ден
Из перемешанных дел миссис Бэзил Э. Фрэнкуайлер,Ингрид Бергман,Филдер Кук,Е.Л. Конигсбург
Прогулка под весенним дождем,Энтони Куинн,Гай Грин,Рэйчел Мэддакс
Цветок кактуса,Уолтер Мэттау,Джин Сэкс,Абе Берроуз
Стимуляция,Ганс Абрамсон,Ганс Абрамсон,Ганс Абрамсон
Желтый роллс-ройс,Ингрид Бергман,Энтони Эсквит,Теренс Рэттиган
Визит,Ингрид Бергман,Бернхард Викки,Бен Барзмен
Любите ли вы Брамса?,Ингрид Бергман,Анатоль Литвак,Франсуаза Саган
Постоялый двор шестой степени счастья,Ингрид Бергман,Марк Робсон,Изобель Леннарт
Милый сэр,Кэри Грант,Стэнли Донен,Норман Красна
Анастасия,Ингрид Бергман,Анатоль Литвак,Артур Лорентс
Елена и мужчины,Ингрид Бергман,Жан Ренуар,Жан Ренуар
